name,appid
Wall World,2187290.0
Prison Architect - Psych Ward: Warden's Edition - DLC,1143650.0
Ken Follett's The Pillars of the Earth,234270.0
House Flipper - HGTV - DLC,1126050.0
SkyDrift,91100.0
Chenso Club,1454730.0
Castlevania Classics Anniversary Collection,1018010.0
Undungeon,928990.0
Potion Permit,1337760.0
For The King,527230.0
EA Gift Card €15,754500.0
Devil May Cry 5 - Playable Character: Vergil - DLC,2192770.0
Pathfinder: Wrath of the Righteous - Commander Pack - DLC,1694800.0
Unrailed!,1016920.0
"Northgard - Sv?fnir, Clan of the Snake - DLC",888650.0
Outer Wilds - Echoes of the Eye - DLC,1622100.0
Cities: Skylines - Content Creator Pack: Modern Japan - DLC,1148022.0
Don't Starve Together,322330.0
Alan Wake Collector’s Edition,108726.0
Europa Universalis: Rome - Gold Edition,23420.0
Make the Burger,1358610.0
Delta Force: Task Force Dagger,32650.0
Loretta,1592540.0
Europa Universalis IV: Lions of the North - DLC,2012010.0
FAR: Changing Tides - Deluxe Edition,21208.0
Lake,1118240.0
Not For Broadcast,1147550.0
Ex Natura: Nature Corrupted,1557180.0
Street Fighter 6,1361510.0
Cities: Skylines - Campus - DLC,944071.0
Resident Evil Village - Gold Edition,2062120.0
Ever Forward,1220370.0
Tropico 6: Festival - DLC,1631380.0
Europa Universalis IV: Emperor - DLC,1259360.0
CODE VEIN - Deluxe Edition,34077.0
DreadEye VR,692930.0
Castlevania Advance Collection,1552550.0
Painkiller Resurrection,2192770.0
Sword Art Online: Alicization Lycoris,1202061.0
Dying Light - Shu Warrior Bundle - DLC,2192770.0
PAC-MAN WORLD Re-PAC,1859470.0
Resident Evil 0,381716.0
Expedition Zero,1247570.0
The Coma 2: Vicious Sisters DELUXE EDITION,15986.0
Turnip Boy Commits Tax Evasion,1205450.0
Metro Simulator - 'Oka' Liveries Pack - DLC,315660.0
Labyrinth City: Pierre the Maze Detective,1421790.0
POSTAL Redux,401680.0
Strategy & Tactics: Wargame Collection,338130.0
Colored Effects,1892570.0
Hue,383270.0
Brothers in Arms: Road to hill 30,1227700.0
WRC 10 FIA World Rally Championship - Deluxe Edition,21763.0
Castlevania: Lords of Shadow – Ultimate Edition,234080.0
Psychonauts,3838.0
NARUTO TO BORUTO: SHINOBI STRIKER - Deluxe Edition,1205240.0
Project Highrise: Brilliant Berlin - DLC,842020.0
Bomber Crew,537800.0
DESOLATE,671510.0
Bang-On Balls: Chronicles,1227650.0
SteamWorld Heist,322190.0
Pathfinder: Wrath of the Righteous - Inevitable Excess - DLC,1889980.0
Prison Architect: Second Chances - DLC,1601350.0
Mortal Kombat 1,1431780.0
Code Vein: Deluxe Edition,34077.0
Sinless,340320.0
ONE PIECE World Seeker,755500.0
Stellaris: Galaxy Edition Upgrade Pack - DLC,616191.0
Indiana Jones and the Emperor's Tomb,499460.0
Re:Turn – One Way Trip,1195360.0
Absolute Tactics: Daughters of Mercy,1636660.0
Citizen Sleeper,1578650.0
Blackguards,249650.0
Silver,606680.0
Autonauts vs Piratebots,1907720.0
Dragon Star Varnir,1062040.0
The Wanderer: Frankenstein's Creature,966670.0
Orcs Must Die! - Lost Adventures - DLC,102623.0
Pumpkin Jack,1186640.0
Surviving Mars,464920.0
Tales of Arise: Deluxe Edition,15892.0
Train Valley 2,602320.0
The Guild 3,311260.0
SUPERHOT,322500.0
TEKKEN 7 - Definitive Edition,40970.0
Pizza Possum,1951230.0
LEGO® Star Wars™: The Skywalker Saga - Deluxe Edition,1205240.0
Train Valley 2: Workshop Gems – Ruby - DLC,2098230.0
Sigma Theory: Global Cold War,716640.0
Europa Universalis IV: Domination - DLC,2223660.0
For The King: Lost Civilization Adventure Pack - DLC,1433560.0
Men of War: Assault Squad 2 - Deluxe Edition,271850.0
Подписка Xbox LIVE GOLD на 12 месяцев,
Expeditions: Rome,987840.0
Giana Sisters: Twisted Bundle,31710.0
Cities: Skylines - Content Creator Pack: Mid-Century Modern - DLC,1992290.0
G-Force,1094410.0
Bad North: Jotunn Edition,688420.0
Hollow 2,1055240.0
Resident Evil: Revelations 2 - Deluxe Edition,1205240.0
ONE PIECE World Seeker: Deluxe Edition,571720.0
The Great Perhaps,1016930.0
Alba: A Wildlife Adventure,1337010.0
Pathfinder: Wrath of the Righteous - Through the Ashes - DLC,1889981.0
Tropico 6,492720.0
